,state,x_coor,y_coor
0,Rivers,-68,-242
1,Akwa ibom,-8,-237
2,Cross river,16,-162
3,Taraba,110,-63
4,Adamawa,197,19
5,Gombe,137,49
6,Borno,226,136
7,Yobe,139,155
8,Jigawa,50,158
9,Kano,3,122
10,Katsina,-48,171
11,Zamfara,-111,141
12,Sokoto,-147,190
13,Kebbi,-210,112
14,Niger,-140,37
15,Kwara,-169,-23
16,Oyo,-240,-49
17,Osun,-197,-77
18,Ekiti,-153,-72
19,Ondo,-157,-104
20,Edo,-130,-128
21,Imo,-71,-174
22,Abia,-38,-172
23,Bayelsa,-109,-220
24,Delta,-117,-180
25,Lagos,-228,-146
26,Ogun,-243,-109
27,Kaduna,-26,57
28,Bauchi,78,57
29,Plateau,69,-4
30,Benue,18,-94
31,Nasarawa,-3,-38
32,Abuja,-60,-19
33,Enugu,-51,-138
34,Ebonyi,-25,-146
35,Kogi,-85,-75
36,Anambra,-76,-149
